,Cities,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
0,cortez,36.41,44,1,12.75,37.85794602529019
1,hermanus,64.0,79,98,3.0,-76.19466309763868
2,mataura,54.0,76,88,8.99,-50.50632446184589
3,rikitea,76.91,74,95,12.15,-31.25835131215171
4,yellowknife,-20.09,75,75,5.82,64.6165740989741
5,mar del plata,61.97,59,67,7.38,-60.28051480198462
6,tasiilaq,21.58,93,100,32.88,65.67463762654299
7,torbay,26.46,86,90,9.17,48.96584234313502
8,punta arenas,57.09,67,90,16.11,-69.3253587247764
9,cherskiy,-16.24,71,0,5.97,73.16381174647094
10,butaritari,84.87,76,100,18.25,27.15827301460854
11,jamestown,74.52,41,0,8.01,-24.198124529981612
12,san quintin,72.01,76,2,4.12,23.130779239815283
13,gondanglegi,77.58,85,85,1.07,-8.610909257275864
14,vaini,64.33,97,4,5.06,-49.68659942845663
15,barrow,59.86,62,32,7.99,76.79955493048186
16,busselton,63.82,33,0,7.34,-86.63308498595264
17,codrington,79.74,61,25,5.82,26.090742602747056
18,fortuna,51.84,62,1,5.82,37.16288740187899
19,chokurdakh,-22.41,99,14,2.77,86.05534365766414
20,nanortalik,14.54,71,0,52.1,57.21347153898381
21,ushuaia,55.4,54,75,6.93,-87.57770249110307
22,coolum beach,80.98,64,100,1.01,-25.017686264248567
23,nacala,74.89,96,98,2.48,-14.488369343253254
24,bluff,83.55,56,60,13.71,-89.04918667962514
25,geraldton,10.4,72,75,6.93,-34.13656799164497
26,qaanaaq,-13.86,62,45,10.8,74.3516127387536
27,narsaq,-0.4,30,5,5.82,84.05230324016881
28,zhigansk,-1.34,95,100,16.15,66.16465299004986
29,pecos,66.13,8,1,18.34,30.569864036118275
30,nola,67.98,47,3,0.38,3.881796476983453
31,springbok,57.99,80,48,1.77,-30.450943906161598
32,kot addu,50.0,93,90,4.7,30.394971992399803
33,sinnamary,79.3,77,85,15.57,9.501819168445664
34,camacha,61.84,72,40,11.41,33.147714070841246
35,georgetown,78.8,88,20,6.93,-1.1066248580119407
36,ambilobe,75.6,88,46,3.33,-8.104793786329878
37,manokwari,72.19,94,100,2.57,-2.1116467220493575
38,cape town,66.7,63,99,19.46,-41.02400038882413
39,albany,32.77,55,40,8.05,-89.90515387519247
40,itarema,77.38,86,52,4.03,10.560200266396919
41,port alfred,69.01,97,100,9.04,-76.36744406049091
42,atar,51.75,13,59,8.23,20.455535417125603
43,kaeo,69.96,63,66,4.0,-29.93196211022117
44,mount gambier,59.0,82,21,10.29,-47.777502060505014
45,castro,55.4,87,90,11.41,-43.97805535105622
46,marsa matruh,46.4,75,40,12.75,32.745909081539736
47,arraial do cabo,78.71,89,93,16.87,-47.17266997604297
48,hilo,74.79,54,75,11.41,8.02192800180049
49,airai,76.66,63,99,3.31,16.373983926925064
50,salym,10.4,96,95,6.17,59.3317095077453
51,ponta do sol,68.58,92,9,2.48,20.753819177712444
52,bambous virieux,77.0,100,75,6.35,-26.303187384482023
53,bredasdorp,62.71,72,94,3.36,-71.45775390152133
54,teeli,-11.81,72,0,0.89,51.1863223860488
55,sao filipe,69.46,62,90,19.75,10.174140971065171
56,saint-francois,33.01,92,49,3.69,20.37600943106291
57,te anau,47.44,89,96,5.39,-45.4729119201087
58,tuktoyaktuk,-29.2,66,20,8.05,85.30517318912592
59,hovd,40.37,61,36,8.05,44.863649720592576
60,znamenka,17.58,94,0,2.89,52.39478176733283
61,saryagash,32.0,80,90,4.7,41.450744485621584
62,san cristobal,63.18,91,79,5.88,-10.172760902624873
63,puerto ayora,81.1,58,75,18.34,-2.965349994524459
64,cockburn town,77.34,81,99,16.2,23.69205773965315
65,husavik,27.95,71,55,11.01,75.64606765743102
66,marsabit,79.14,56,6,13.62,1.5742970304285109
67,san andres,77.77,83,26,10.13,11.498539064869505
68,marsh harbour,69.51,57,37,8.93,30.131021493531193
69,savannah bight,78.8,77,88,17.49,16.664559150529016
70,pathein,69.3,80,0,4.83,17.044442539605754
71,atuona,80.55,70,0,12.33,-5.4798753351302025
72,poltavka,7.63,95,92,5.86,54.41856844862929
73,ilulissat,-4.0,58,100,12.75,82.72746490370608
74,saint george,35.73,55,20,5.82,28.589420124999947
75,bathsheba,78.8,69,20,14.99,13.878416917908666
76,aklavik,-31.76,66,20,2.24,71.46203079325056
77,manakara,73.8,93,83,1.92,-23.443311971548695
78,san juan,82.04,17,0,10.56,-31.854765847203204
79,coquimbo,71.6,53,0,10.29,-30.04852774771316
80,hualmay,68.49,82,18,5.75,-17.815493116993864
81,cape girardeau,48.45,42,1,3.36,37.2653652722843
82,kavieng,84.72,69,75,2.89,10.492340688091645
83,provideniya,-11.24,95,83,1.23,59.95995918871438
