city number 0, taolanaro is not found
Getting data for city number 1, mataura
Getting data for city number 2, kavaratti
Getting data for city number 3, dikson
city number 4, illoqqortoormiut is not found
city number 5, kracheh is not found
city number 6, qui nhon is not found
city number 7, domoni is not found
city number 8, barentsburg is not found
Getting data for city number 9, alugan
Getting data for city number 10, punta arenas
Getting data for city number 11, berlevag
Getting data for city number 12, georgetown
city number 13, warqla is not found
Getting data for city number 14, yellowknife
Getting data for city number 15, carnarvon
Getting data for city number 16, cherskiy
Getting data for city number 17, kapaa
Getting data for city number 18, nikolskoye
Getting data for city number 19, inirida
Getting data for city number 20, grindavik
Getting data for city number 21, abonnema
Getting data for city number 22, vaini
Getting data for city number 23, jamestown
Getting data for city number 24, kenai
Getting data for city number 25, maldonado
Getting data for city number 26, iqaluit
Getting data for city number 27, port alfred
Getting data for city number 28, morant bay
Getting data for city number 29, lebu
Getting data for city number 30, adrar
Getting data for city number 31, russell
Getting data for city number 32, ushuaia
Getting data for city number 33, changji
Getting data for city number 34, rikitea
Getting data for city number 35, busselton
Getting data for city number 36, khatanga
Getting data for city number 37, hilo
Getting data for city number 38, hermanus
Getting data for city number 39, hofn
Getting data for city number 40, upernavik
Getting data for city number 41, henties bay
Getting data for city number 42, tigil
Getting data for city number 43, puerto ayora
Getting data for city number 44, vila franca do campo
city number 45, formoso do araguaia is not found
Getting data for city number 46, anadyr
Getting data for city number 47, east london
Getting data for city number 48, diego de almagro
Getting data for city number 49, chokurdakh
city number 50, kapoeta is not found
Getting data for city number 51, saskylakh
Getting data for city number 52, deer lake
Getting data for city number 53, tiksi
Getting data for city number 54, ribeira grande
Getting data for city number 55, sao joao da barra
Getting data for city number 56, luderitz
Getting data for city number 57, polunochnoye
Getting data for city number 58, atuona
Getting data for city number 59, avila
Getting data for city number 60, tuktoyaktuk
Getting data for city number 61, toila
city number 62, halalo is not found
Getting data for city number 63, coroneo
Getting data for city number 64, hamilton
Getting data for city number 65, puerto quijarro
Getting data for city number 66, luan
Getting data for city number 67, sao filipe
Getting data for city number 68, kaitangata
Getting data for city number 69, araouane
Getting data for city number 70, pindiga
Getting data for city number 71, barrow
city number 72, lolua is not found
Getting data for city number 73, solnechnyy
Getting data for city number 74, ust-omchug
Getting data for city number 75, nouadhibou
Getting data for city number 76, sisimiut
Getting data for city number 77, bethel
Getting data for city number 78, esperance
Getting data for city number 79, manakara
Getting data for city number 80, severo-kurilsk
Getting data for city number 81, pevek
city number 82, amderma is not found
Getting data for city number 83, qaanaaq
Getting data for city number 84, ballina
Getting data for city number 85, hasaki
Getting data for city number 86, chuy
Getting data for city number 87, kautokeino
Getting data for city number 88, amlame
Getting data for city number 89, conceicao da barra
Getting data for city number 90, port elizabeth
Getting data for city number 91, butaritari
Getting data for city number 92, vestmannaeyjar
Getting data for city number 93, sitia
Getting data for city number 94, sfantu gheorghe
Getting data for city number 95, victoria
Getting data for city number 96, narsaq
Getting data for city number 97, pasaje
Getting data for city number 98, codrington
Getting data for city number 99, quincy
Getting data for city number 100, chicama
Getting data for city number 101, port-gentil
Getting data for city number 102, san cristobal
city number 103, sentyabrskiy is not found
Getting data for city number 104, pushkino
Getting data for city number 105, salalah
Getting data for city number 106, baiao
city number 107, ndele is not found
Getting data for city number 108, tateyama
Getting data for city number 109, avarua
Getting data for city number 110, grand-santi
Getting data for city number 111, tongren
Getting data for city number 112, gazanjyk
Getting data for city number 113, concordia
Getting data for city number 114, saldanha
Getting data for city number 115, vila velha
Getting data for city number 116, wellington
Getting data for city number 117, arraial do cabo
Getting data for city number 118, huicheng
Getting data for city number 119, kodiak
Getting data for city number 120, shelburne
Getting data for city number 121, torbay
city number 122, korla is not found
Getting data for city number 123, clyde river
Getting data for city number 124, napier
Getting data for city number 125, lagoa
Getting data for city number 126, nenjiang
Getting data for city number 127, phuthaditjhaba
city number 128, asau is not found
city number 129, tabiauea is not found
Getting data for city number 130, abha
